"Actor","Source","ID","Title","Year","Rated","Type","Actors","Genre","Metascore","imdbRating","imdbVotes","tomatoMeter","tomatoRating","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","BoxOffice","Production"
"Liam Neeson","Money","tt0091375","Lamb","1985","N/A","movie","Liam Neeson, Harry Towb, Hugh O'Conor, Frances Tomelty","Drama","N/A","6.6","362","N/A","N/A","82","3.8","222","N/A","N/A"
"Liam Neeson","Money","tt0089341","The Innocent","1985","N/A","movie","Andrew Hawley, Kika Markham, Kate Foster, Liam Neeson","Drama","N/A","6.1","51","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Liam Neeson","Money","tt0088739","Arthur the King","1985","N/A","movie","Malcolm McDowell, Candice Bergen, Edward Woodward, Dyan Cannon","Adventure, Fantasy, Mystery","N/A","4.2","304","N/A","N/A","38","3.6","93","N/A","N/A"
"Liam Neeson","Money","tt0085114","A Woman of Substance","1984","N/A","series","Jenny Seagrove, Barry Bostwick, Deborah Kerr, Diane Baker","Drama, Romance","N/A","7.6","629","N/A","N/A","86","3.7","816","N/A","Live Home Video"
"Liam Neeson","Money","tt0086705","Ellis Island","1984","N/A","series","Mike Kent, Robert Rietty","Drama, History","N/A","7.2","143","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Liam Neeson","Money","tt0086993","The Bounty","1984","PG","movie","Mel Gibson, Anthony Hopkins, Laurence Olivier, Edward Fox","Action, Adventure, Drama","N/A","7.0","17,770","82","6.3","72","3.4","10195","N/A","MGM"
"Liam Neeson","Money","tt0085811","Krull","1983","PG","movie","Ken Marshall, Lysette Anthony, Freddie Jones, Francesca Annis","Action, Adventure, Fantasy","N/A","6.0","23,085","N/A","N/A","N/A","N/A","36","N/A","N/A"
"Liam Neeson","Money","tt0939584","Across the Water","1983","N/A","movie","Liam Neeson, Wendy Morgan, Jay Hilalen, Sandra Voe","Drama","N/A","N/A","N/A","N/A","N/A","N/A","N/A","355","N/A","N/A"
"Liam Neeson","Money","tt0255412","Nailed","1981","N/A","movie","Colin Blakely, Liam Neeson, Colm Meaney","N/A","N/A","5.4","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Liam Neeson","Money","tt1015974","Charlie Was a Rich Man","1981","N/A","movie","Steven Berkoff, Terence Budd, Kim Goody, Malcolm Mudie","Drama","N/A","5.0","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Liam Neeson","Money","tt0082348","Excalibur","1981","R","movie","Nigel Terry, Helen Mirren, Nicholas Clay, Cherie Lunghi","Adventure, Drama, Fantasy","N/A","7.4","46,140","82","7.2","80","3.4","49743","N/A","Warner Bros. Pictures"
"Liam Neeson","Money","tt0762803","BBC2 Playhouse","1973–1983","N/A","series","Ralph Morse, John Bluthal, Gawn Grainger, Denholm Elliott","Drama","N/A","6.6","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Liam Neeson","Money","tt0359075","Christiana","1979","N/A","movie","Jenny Cunningham, Tina Heath, Liam Neeson, Maurice O'Callaghan","Adventure, Fantasy","N/A","5.8","61","N/A","N/A","N/A","N/A","83","N/A","N/A"
"Liam Neeson","Money","tt0165592","Play for Today","1970–1984","N/A","series","Alison Steadman, Nigel Hawthorne, Tony Caunter, David Daker","Drama","N/A","7.7","151","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Liam Neeson","Money","tt0359836","Pilgrim's Progress","1978","N/A","movie","Peter Thomas, Maurice O'Callaghan, Liam Neeson, Ronnie Irvine","Adventure","N/A","5.7","161","N/A","N/A","70","3.8","112","N/A","VCI"
"Gary Oldman","Money","tt4555426","Darkest Hour","2017","N/A","movie","Gary Oldman","Drama, History, War","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt3922818","The Space Between Us","2016","PG-13","movie","Britt Robertson, Carla Gugino, Gary Oldman, BD Wong","Sci-Fi","N/A","N/A","N/A","N/A","N/A","N/A","N/A","367","N/A","Southpaw Entertainment"
"Gary Oldman","Money","tt2983414","Flying Horse","2016","N/A","movie","Benedict Cumberbatch, Amanda Seyfried, Ralph Fiennes, Gary Oldman","Biography, Drama","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt5194726","Squadron 42","2016","N/A","game","Mark Hamill, Gillian Anderson, Rhona Mitra, Gary Oldman","Sci-Fi","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1959563","The Hitman's Bodyguard","2016","N/A","movie","Ryan Reynolds, Samuel L. Jackson, Elodie Yung, Salma Hayek","Action, Comedy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40","N/A","Millenium Films"
"Gary Oldman","Money","tt3014866","Criminal","2016","R","movie","Kevin Costner, Gary Oldman, Tommy Lee Jones, Jordi Mollà","Action, Crime, Drama","37","6.4","6,897","32","4.4","56","3.4","18357","N/A","Summit Entertainment"
"Gary Oldman","Money","tt4656392","Lego Dimensions","2015","N/A","game","Will Arnett, Sean Astin, Dan Aykroyd, Laura Bailey","Action, Adventure, Comedy","N/A","8.4","106","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt2461520","Man Down","2015","N/A","movie","Kate Mara, Shia LaBeouf, Jai Courtney, Gary Oldman","Drama, Thriller","N/A","6.4","254","0","3.0","78","4.2","34","N/A","N/A"
"Gary Oldman","Money","tt1014763","Child 44","2015","R","movie","Xavier Atkins, Mark Lewis Jones, Tom Hardy, Joel Kinnaman","Crime, Drama, Thriller","41","6.4","39,350","26","4.8","42","3.1","11580","N/A","Summit Entertainment"
"Gary Oldman","Money","tt2103281","Dawn of the Planet of the Apes","2014","PG-13","movie","Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell","Action, Adventure, Drama","79","7.6","312,612","90","7.9","88","4.2","201986","N/A","20th Century Fox"
"Gary Oldman","Money","tt1234721","RoboCop","2014","PG-13","movie","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish","Action, Sci-Fi, Thriller","52","6.2","181,067","49","5.6","50","3.3","126688","$58.6M","Sony Pictures Releasing"
"Gary Oldman","Money","tt0320037","Jimmy Kimmel Live!","2003–","TV-14","series","Jimmy Kimmel","Comedy, Music, Talk-Show","N/A","6.9","8,198","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1413495","Paranoia","2013","PG-13","movie","Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford","Drama, Thriller","32","5.7","28,065","6","3.8","35","2.8","23299","N/A","Relativity Media"
"Gary Oldman","Money","tt3038760","David Bowie: The Next Day","2013","N/A","movie","Megan Neal Bodul, David Bowie, Marion Cotillard, Brigitte Hagerman","Short, Music","N/A","8.3","227","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1675161","Guns, Girls and Gambling","2012","N/A","movie","Christian Slater, Powers Boothe, Dane Cook, Jeff Fahey","Comedy, Crime, Thriller","N/A","5.5","3,133","N/A","N/A","30","2.7","411","N/A","Independent Pictures"
"Gary Oldman","Money","tt1345836","The Dark Knight Rises","2012","PG-13","movie","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Adventure, Drama","78","8.5","1,131,146","87","8.0","90","4.3","1206248","$448.1M","Warner Bros. Pictures"
"Gary Oldman","Money","tt1212450","Lawless","2012","R","movie","Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce","Crime, Drama","58","7.3","183,212","67","6.5","75","3.8","107386","$36.3M","The Weinstein Company"
"Gary Oldman","Money","tt2167961","Touch of Evil","2011","N/A","movie","Jessica Chastain, George Clooney, Glenn Close, Viola Davis","Short","N/A","7.1","334","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1340800","Tinker Tailor Soldier Spy","2011","R","movie","Mark Strong, John Hurt, Zoltán Mucsi, Péter Kálloy Molnár","Drama, Mystery, Thriller","85","7.1","147,637","83","7.8","65","3.5","52998","$20.2M","Focus Features"
"Gary Oldman","Money","tt1201607","Harry Potter and the Deathly Hallows: Part 2","2011","PG-13","movie","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","87","8.1","530,955","96","8.3","89","4.3","387143","$381.0M","Warner Bros. Pictures"
"Gary Oldman","Money","tt1302011","Kung Fu Panda 2","2011","PG","movie","Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman","Animation, Action, Adventure","67","7.3","178,183","81","6.9","74","3.8","144285","$165.2M","Paramount Studios/Dreamworks"
"Gary Oldman","Money","tt1486185","Red Riding Hood","2011","PG-13","movie","Amanda Seyfried, Gary Oldman, Billy Burke, Shiloh Fernandez","Fantasy, Horror, Mystery","29","5.4","90,387","10","3.7","39","2.9","75089","$37.2M","Warner Bros."
"Gary Oldman","Money","tt1632479","Call of Duty: Black Ops","2010","N/A","game","James C. Burns, Emmanuelle Chriqui, Ice Cube, Ed Harris","Action, Mystery, Thriller","N/A","8.3","11,300","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1037705","The Book of Eli","2010","R","movie","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson","Action, Adventure, Drama","53","6.9","224,815","48","5.4","64","3.4","349893","$94.8M","Warner Bros. Pictures"
"Gary Oldman","Money","tt0762125","Planet 51","2009","PG","movie","Jessica Biel, John Cleese, Gary Oldman, Dwayne Johnson","Animation, Adventure, Comedy","39","6.1","40,942","21","4.2","39","2.8","356914","$42.2M","Sony Pictures/TriStar Pictures"
"Gary Oldman","Money","tt1067106","A Christmas Carol","2009","PG","movie","Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan","Animation, Drama, Family","55","6.8","72,004","54","5.9","58","3.2","775723","$137.8M","Walt Disney Studios"
"Gary Oldman","Money","tt1206086","Rain Fall","2009","R","movie","Kippei Shîna, Gary Oldman, Kyoko Hasegawa, Misa Shimizu","Action, Crime, Drama","N/A","4.8","982","N/A","N/A","16","2.4","299","N/A","LionsGate Entertainment"
"Gary Oldman","Money","tt2355545","Do Not Go See the Perfect Sleep","2009","N/A","movie","Jeremy Alter, Bono, Gary Oldman, Bas Rutten","Short","N/A","7.2","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1139668","The Unborn","2009","PG-13","movie","Odette Annable, Gary Oldman, Cam Gigandet, Meagan Good","Drama, Horror, Mystery","30","4.8","41,727","10","3.2","30","2.7","831732","$42.6M","Rogue Pictures"
"Gary Oldman","Money","tt1323508","Call of Duty: World at War","2008","N/A","game","Gary Oldman, Kiefer Sutherland, Aaron Stanford, Craig Houston","Action, Horror, War","N/A","8.2","6,933","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt1228985","The Legend of Spyro: Dawn of the Dragon","2008","N/A","game","Elijah Wood, Christina Ricci, Wayne Brady, Gary Oldman","Adventure","N/A","7.6","220","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0468569","The Dark Knight","2008","PG-13","movie","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Action, Adventure, Crime","82","9.0","1,652,832","94","8.6","94","4.4","1822797","$533.3M","Warner Bros. Pictures/Legendary"
"Gary Oldman","Money","tt1123392","The Legend of Spyro: The Eternal Night","2007","N/A","game","Elijah Wood, Billy West, Gary Oldman, Kevin Michael Richardson","Adventure","N/A","7.4","134","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0373889","Harry Potter and the Order of the Phoenix","2007","PG-13","movie","Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin","Adventure, Family, Fantasy","71","7.5","350,333","79","6.9","81","3.9","2329924","$292.0M","Warner Bros. Pictures"
"Gary Oldman","Money","tt0887754","The Legend of Spyro: A New Beginning","2006","N/A","game","Elijah Wood, David Spade, Gary Oldman, Cree Summer","Action","N/A","7.2","195","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0473333","The Backwoods","2006","N/A","movie","Gary Oldman, Virginie Ledoyen, Paddy Considine, Aitana Sánchez-Gijón","Drama, Horror, Thriller","N/A","5.7","4,427","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0330373","Harry Potter and the Goblet of Fire","2005","PG-13","movie","Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe","Adventure, Family, Fantasy","81","7.6","380,787","88","7.5","74","3.4","34150708","$290.0M","Warner Bros. Pictures"
"Gary Oldman","Money","tt0379240","Dead Fish","2005","R","movie","Robert Carlyle, Gary Oldman, Anouska Bolton Lee, Cassandra Bell","Action, Comedy, Thriller","N/A","5.3","2,825","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0372784","Batman Begins","2005","PG-13","movie","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes","Action, Adventure","70","8.3","965,047","85","7.7","94","3.9","1109496","$204.1M","Warner Bros. Pictures"
"Gary Oldman","Money","tt0426625","Who's Kyle?","2004","N/A","movie","Collin Bernsen, Gerald Emerick, Cary Anderson, Phina Oruche","Short","N/A","4.2","105","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0304141","Harry Potter and the Prisoner of Azkaban","2004","PG","movie","Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw","Adventure, Family, Fantasy","82","7.8","377,439","91","7.9","86","3.8","1164624","$249.4M","Warner Bros. Pictures"
"Gary Oldman","Money","tt0307466","Sin","2003","R","movie","Gary Oldman, Ving Rhames, Kerry Washington, Alicia Coppola","Crime, Drama, Thriller","N/A","4.7","1,559","N/A","N/A","20","2.6","1664","N/A","Sony Pictures Home Entertainment"
"Gary Oldman","Money","tt0378918","True Crime: Streets of LA","2003","N/A","game","Russell Wong, Gary Oldman, CCH Pounder, Christopher Walken","Action, Adventure, Comedy","N/A","6.9","932","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0316768","Tiptoes","2003","R","movie","Gary Oldman, Peter Dinklage, Kate Beckinsale, Matthew McConaughey","Comedy, Drama, Romance","N/A","4.7","3,626","29","4.2","22","2.5","3252","N/A","Sony Pictures Entertainment"
"Gary Oldman","Money","tt0358585","Medal of Honor: Allied Assault - Spearhead","2003","N/A","game","Gary Oldman, Robert Biehn, Kenneth Danziger, Guido Foehrweisser","Action, Adventure, War","N/A","7.9","397","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0338768","Beat the Devil","2002","N/A","movie","Clive Owen, Gary Oldman, James Brown, Marilyn Manson","Action, Short, Adventure","N/A","7.5","4,989","N/A","N/A","78","3.8","711","N/A","Lionsgate"
"Gary Oldman","Money","tt0280257","Greg the Bunny","2002–","TV-14","series","Eugene Levy, Seth Green, Bob Gunton, Sarah Silverman","Comedy","N/A","7.8","1,303","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0165832","Interstate 60: Episodes of the Road","2002","R","movie","Matthew Edison, Paul Brogren, Wayne Robson, Gary Oldman","Adventure, Comedy, Drama","N/A","7.7","23,274","80","6.4","86","3.9","7876","N/A","Screen Media"
"Gary Oldman","Money","tt0108778","Friends","1994–2004","TV-14","series","Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc","Comedy, Romance","N/A","9.0","470,162","N/A","N/A","67","3.7","93","N/A","N/A"
"Gary Oldman","Money","tt0212985","Hannibal","2001","R","movie","Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta","Crime, Drama, Thriller","57","6.8","206,622","39","5.1","62","3.4","402443","$163.9M","MGM"
"Gary Oldman","Money","tt0215516","Nobody's Baby","2001","R","movie","Skeet Ulrich, Gary Oldman, Radha Mitchell, Mary Steenburgen","Comedy, Drama","N/A","6.5","1,311","0","4.0","60","3.4","710","N/A","Artisan Home Entertainment"
"Gary Oldman","Money","tt0208874","The Contender","2000","R","movie","Gary Oldman, Joan Allen, Jeff Bridges, Christian Slater","Drama, Thriller","59","7.0","20,342","76","6.7","73","3.5","8147","$16.1M","Dreamworks Distribution"
"Gary Oldman","Money","tt0199232","Jesus","1999","N/A","movie","Jeremy Sisto, Debra Messing, Armin Mueller-Stahl, Jacqueline Bisset","Biography, Drama, History","N/A","6.0","2,304","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0115396","Tracey Takes On...","1996–1999","N/A","series","Tracey Ullman, Alastair Duncan","Comedy","N/A","7.2","348","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0377917","The Fifth Element","1998","N/A","game","Milla Jovovich, Gary Oldman, Ian Holm, Bruce Willis","Action, Adventure, Sci-Fi","N/A","7.6","9,700","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0120800","The Magic Sword: Quest for Camelot","1998","G","movie","Jessalyn Gilsig, Andrea Corr, Cary Elwes, Bryan White","Animation, Adventure, Comedy","N/A","6.2","10,953","36","5.3","59","3.1","26787","N/A","Warner Bros. Pictures"
"Gary Oldman","Money","tt0120738","Lost in Space","1998","PG-13","movie","William Hurt, Mimi Rogers, Heather Graham, Lacey Chabert","Action, Adventure, Family","42","5.1","57,947","27","4.7","24","2.5","173610","N/A","New Line Home Entertainment"
"Gary Oldman","Money","tt0118571","Air Force One","1997","R","movie","Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","Action, Adventure, Drama","61","6.4","144,316","78","7.0","66","3.2","378050","N/A","N/A"
"Gary Oldman","Money","tt0119116","The Fifth Element","1997","PG-13","movie","Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","Action, Adventure, Sci-Fi","52","7.7","339,437","71","6.3","87","3.7","585473","N/A","Sony Pictures Home Entertainment"
"Gary Oldman","Money","tt0115632","Basquiat","1996","R","movie","Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani","Biography, Drama","65","6.9","15,762","N/A","N/A","20","2.2","78","N/A","N/A"
"Gary Oldman","Money","tt0114345","The Scarlet Letter","1995","R","movie","Demi Moore, Gary Oldman, Robert Duvall, Lisa Andoh","Drama, Romance","N/A","5.1","11,929","14","3.0","41","2.8","20411","N/A","Buena Vista"
"Gary Oldman","Money","tt0113870","Murder in the First","1995","R","movie","Christian Slater, Kevin Bacon, Gary Oldman, Embeth Davidtz","Drama, Thriller","N/A","7.3","21,485","50","5.5","80","3.5","21895","N/A","Warner Bros. Pictures"
"Gary Oldman","Money","tt0110116","Immortal Beloved","1994","R","movie","Gary Oldman, Jeroen Krabbé, Isabella Rossellini, Johanna ter Steege","Biography, Drama, Music","N/A","7.5","18,496","56","6.1","87","3.8","20621","N/A","Sony Pictures Home Entertainment"
"Gary Oldman","Money","tt0110413","Léon: The Professional","1994","R","movie","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello","Crime, Drama, Thriller","64","8.6","714,357","71","6.7","95","4.1","271740","N/A","Columbia Pictures"
"Gary Oldman","Money","tt0107983","Romeo Is Bleeding","1993","R","movie","Gary Oldman, Wallace Wood, Juliette Lewis, David Proval","Action, Crime, Drama","N/A","6.6","10,583","23","4.5","61","3.3","7513","N/A","MGM Home Entertainment"
"Gary Oldman","Money","tt0108399","True Romance","1993","R","movie","Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer","Action, Crime, Drama","57","8.0","161,910","92","7.5","93","3.9","191075","N/A","Warner Bros."
"Gary Oldman","Money","tt0105994","Fallen Angels","1993–1995","N/A","series","Miguel Ferrer, Lynette Walden, Dan Hedaya, Bernard Hocke","Drama, Crime, Mystery","N/A","6.6","294","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0103874","Bram Stoker's Dracula","1992","R","movie","Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves","Fantasy, Horror, Romance","57","7.5","141,875","79","6.6","80","3.6","258159","N/A","Columbia Pictures"
"Gary Oldman","Money","tt0102138","JFK","1991","R","movie","Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed","Drama, History, Thriller","72","8.0","112,217","85","7.7","88","3.8","61821","N/A","Warner Bros."
"Gary Oldman","Money","tt0297626","Screen Two","1985–2002","N/A","series","Geoffrey Chater, Roger Brierley, Roger Hammond, Bernard Hill","N/A","N/A","7.0","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0099762","Henry & June","1990","NC-17","movie","Fred Ward, Uma Thurman, Maria de Medeiros, Richard E. Grant","Biography, Drama","N/A","6.4","10,048","69","6.1","69","3.5","7781","N/A","MCA Universal Home Video"
"Gary Oldman","Money","tt0100685","State of Grace","1990","R","movie","Sean Penn, Ed Harris, Gary Oldman, Robin Wright","Action, Crime, Drama","N/A","7.3","15,993","84","6.9","83","3.7","9794","N/A","Orion Pictures Corporation"
"Gary Oldman","Money","tt0100519","Rosencrantz & Guildenstern Are Dead","1990","PG","movie","Gary Oldman, Tim Roth, Richard Dreyfuss, Livio Badurina","Comedy, Drama","N/A","7.6","16,758","64","6.1","88","4.0","16877","N/A","Cinecom Pictures"
"Gary Oldman","Money","tt0078638","Knots Landing","1979–1993","TV-14","series","Michele Lee, Ted Shackelford, Joan Van Ark, Kevin Dobson","Drama","N/A","6.7","1,515","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0099242","Chattahoochee","1989","R","movie","Gary Oldman, Dennis Hopper, Frances McDormand, Pamela Reed","Biography, Drama","N/A","6.4","1,369","17","4.5","52","3.2","1525","N/A","HBO Video"
"Gary Oldman","Money","tt0096427","We Think the World of You","1988","PG","movie","Alan Bates, Max Wall, Liz Smith, Frances Barber","Comedy","N/A","6.2","266","N/A","0.0","27","2.9","94","N/A","N/A"
"Gary Oldman","Money","tt0097125","Criminal Law","1988","R","movie","Gary Oldman, Kevin Bacon, Tess Harper, Karen Young","Crime, Thriller","N/A","5.8","2,550","33","4.6","27","2.9","994","N/A","HBO Video"
"Gary Oldman","Money","tt0096294","Track 29","1988","R","movie","Theresa Russell, Gary Oldman, Christopher Lloyd, Colleen Camp","Drama, Mystery","N/A","5.9","1,449","67","6.4","44","3.2","1379","N/A","Cannon Home Video"
"Gary Oldman","Money","tt0093776","Prick Up Your Ears","1987","R","movie","Gary Oldman, Alfred Molina, Vanessa Redgrave, Wallace Shawn","Biography, Drama","N/A","7.4","4,433","92","7.5","80","3.7","4350","N/A","Curzon Film Distributors"
"Gary Oldman","Money","tt0091954","Sid and Nancy","1986","R","movie","Gary Oldman, Chloe Webb, David Hayman, Debby Bishop","Biography, Drama, Music","N/A","7.1","23,083","92","7.5","77","3.6","33635","N/A","New Line Cinema"
"Gary Oldman","Money","tt1636286","Summer Season","1985–","N/A","series","Tim Wylton, Marion Bailey, Charles Dale","Drama","N/A","6.3","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0087743","Morgan's Boy","1984–","N/A","series","Gareth Thomas, Martyn Hesford, Maxine Audley, Alan Rowe","Drama","N/A","6.5","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0086699","Dramarama","1983–1989","N/A","series","Denyse Alexander, Ian Kirkby, Christopher Biggins, Bill Wallis","Drama, Family","N/A","7.3","71","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gary Oldman","Money","tt0082727","Meantime","1984","N/A","movie","Marion Bailey, Phil Daniels, Tim Roth, Pam Ferris","Comedy, Drama","N/A","7.3","1,816","80","6.0","83","3.9","969","N/A","N/A"
"Gary Oldman","Money","tt0082983","Remembrance","1982","N/A","movie","Roger Adamson, John Altman, Dawn Archibald, Sean Arnold","Drama","N/A","6.2","59","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tom Cruise","Money","tt2345759","The Mummy","2017","N/A","movie","Tom Cruise, Sofia Boutella","Action, Adventure, Fantasy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6653","N/A","Universal"
"Tom Cruise","Money","tt3532216","Mena","2017","N/A","movie","Tom Cruise, Domhnall Gleeson, Jesse Plemons, Lola Kirke","Crime, Thriller","N/A","N/A","N/A","N/A","N/A","N/A","N/A","136","N/A","Universal Pictures"
"Tom Cruise","Money","tt3393786","Jack Reacher: Never Go Back","2016","N/A","movie","Tom Cruise, Cobie Smulders, Robert Knepper, Chase Savoie","Action, Adventure, Crime","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1354","N/A","Paramount Pictures"
"Tom Cruise","Money","tt4912910","M:I 6 - Mission Impossible","2017","N/A","movie","Rebecca Ferguson, Tom Cruise","Action, Adventure, Thriller","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Tom Cruise","Money","tt2381249","Mission: Impossible - Rogue Nation","2015","PG-13","movie","Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson","Action, Adventure, Thriller","75","7.5","223,103","93","7.5","87","4.1","90405","N/A","Paramount Pictures"
"Tom Cruise","Money","tt1631867","Edge of Tomorrow","2014","PG-13","movie","Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","Action, Adventure, Sci-Fi","71","7.9","424,716","90","7.5","90","4.2","144110","N/A","Warner Bros. Pictures"
"Tom Cruise","Money","tt1483013","Oblivion","2013","PG-13","movie","Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough","Action, Adventure, Mystery","54","7.0","382,459","53","5.9","61","3.5","162139","$89.0M","Universal Pictures"
"Tom Cruise","Money","tt0790724","Jack Reacher","2012","PG-13","movie","Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo","Action, Crime, Mystery","50","7.0","223,149","62","6.2","67","3.6","114438","$80.0M","Paramount Pictures"
"Tom Cruise","Money","tt1336608","Rock of Ages","2012","PG-13","movie","Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta","Comedy, Drama, Musical","47","5.9","61,556","41","5.0","54","3.3","207586","$38.5M","New Line Cinema"
"Tom Cruise","Money","tt1229238","Mission: Impossible - Ghost Protocol","2011","PG-13","movie","Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner","Action, Adventure, Thriller","73","7.4","360,782","93","7.7","76","3.9","471513","$209.4M","Paramount Studios"
"Tom Cruise","Money","tt1013743","Knight and Day","2010","PG-13","movie","Tom Cruise, Cameron Diaz, Peter Sarsgaard, Jordi Mollà","Action, Comedy, Romance","46","6.3","146,743","52","5.6","49","3.2","198260","$76.4M","20th Century Fox"
"Tom Cruise","Money","tt0985699","Valkyrie","2008","PG-13","movie","Tom Cruise, Kenneth Branagh, Bill Nighy, Tom Wilkinson","Drama, History, Thriller","56","7.1","180,972","62","6.1","65","3.4","238810","$83.0M","MGM"
"Tom Cruise","Money","tt0942385","Tropic Thunder","2008","R","movie","Jeff Kahn, Robert Downey Jr., Anthony Ruivivar, Jack Black","Comedy","71","7.0","304,934","83","7.1","70","3.5","294777","$110.4M","DreamWorks/Paramount Studios"
"Tom Cruise","Money","tt0891527","Lions for Lambs","2007","R","movie","Robert Redford, Meryl Streep, Tom Cruise, Michael Peña","Drama, Thriller, War","47","6.2","40,865","27","4.8","47","3.1","210436","$15.0M","MGM"
"Tom Cruise","Money","tt0317919","Mission: Impossible III","2006","PG-13","movie","Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup","Action, Adventure, Thriller","66","6.9","253,469","70","6.6","69","3.4","507597","$133.4M","Paramount Pictures"
